telegram_id,tickets_count,username
1860243632,3,Treyzitggg
6078387800,3,svetanchelo
6138956291,3,Vlad989889
6725047351,3,metcui
897228084,3,SsiriusLove
7836644524,3,Dolby_AtmosOff
751093914,3,mixmen123
399226724,3,nesworroo
185410637,3,GSM_1312
96478675,3,DefCore
6305240246,3,user_thebest
6935516043,3,pvesf
6301013215,3,DDioppp
6488839554,3,Arut_Kar
563825774,3,p_EpeG_A
1119595316,3,MQnik06
1081047655,3,Drgiz
2063682874,3,Pinkmaster121
1833520503,3,vernota
794776923,3,xdxdead
1478971895,3,morfe_non
441208136,3,Podkop_o_0
5971698796,3,chibr_2468
732277896,3,fumnu
6486106188,3,Lepiu
7542639497,3,durianovs
5835864157,3,greendic
1812293272,3,drugvirt
5475624400,3,fallensouljas
5692778307,3,NFTPRODUCUT
7430464984,3,Hilin_tag
7661969251,3,husisososs
753803754,3,DenissAndreevich
5039893257,3,skwizi01
824174677,3,LolliDi
5276620525,3,gtr_v6
439698823,3,Aleksey_Ryabkov
7603288761,3,cryptomann0x
5216690832,3,e44xe
1163660213,3,DR5KE
1727085485,3,necr0ma6tery
8390944437,3,Aurown
5292131358,3,IceOne_228
393467174,3,JokD1
8134470999,3,Williwonka5
1401810658,3,tompd
5160038313,3,danya_xxx_ff
6419967017,3,usersantix
5793427856,3,need_solace
6091023876,3,exttgg
1854838174,3,timoxaughh
6957981079,3,blood_bloodyy
1507940505,3,loxara69
1176463222,3,Twaukraw
7205956980,3,a_kogda_ne_na_pp
697071422,3,cold_and_blizzard
687738151,3,Voitenko2131
1441820314,3,doraveqqe
723569812,3,Slane_89
6016226924,3,swaga_0088
6450521993,3,CHOBE9EHNE
1606466573,3,ssm1ios
41934547,3,Grailai
8361706734,3,bentley197
1918577814,3,Dhileepkumargm
529903751,3,abconetwo
1092563739,3,Men_Hoo
1370224453,3,shefmath
6504055684,3,Scheiberle
477038406,3,osvrds
6349814418,3,korolidaunov
7572859740,3,grpaupau_gangsta
5555737088,3,RoXmanSM
8290983335,3,xexcogen
7561566426,3,
534098179,2,hodorneverdie
327226907,2,VirGregy
6692804638,2,nonamenoname88
5358463101,2,delpevx
922256619,2,BYSIKI11
6949008065,2,gaz_tg
5491670815,2,vetvdk
7122071433,2,tbank_en
760707109,2,leetnigga
